,MÃ CK,TÊN CÔNG TY,GIÁ,SÀN
1403,PTK,Công ty Cổ phần Luyện kim Phú Thịnh,1.7,Upcom
1404,PTL,Công ty Cổ phần Đầu tư Hạ tầng và Đô thị Dầu khí PVC,3.65,HSX
1405,PTM,"Công ty cổ phần Sản xuất, Thương mại và Dịch vụ ôtô PTM",3.5,Upcom
1406,PTO,Công ty Cổ phần Dịch vụ - Xây dựng Công trình Bưu điện,1.8,Upcom
1407,PTP,Công ty Cổ phần Dịch vụ Viễn thông và In Bưu điện,13,Upcom
1408,PTS,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng,6.3,HNX
1409,PTT,Công ty Cổ phần Vận tải Dầu khí Đông Dương,4.6,Upcom
1410,PTV,Công ty cổ phần Thương mại Dầu khí,,OTC
1411,PTX,Công ty cổ phần Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,7.1,Upcom
1412,PV2,Công ty cổ phần Đầu tư PV2,3,HNX
1413,PVA,Công ty Cổ phần Tổng Công ty Xây lắp Dầu khí Nghệ An,0.6,Upcom
1414,PVB,Công ty cổ phần Bọc ống Dầu khí Việt Nam,19.1,HNX
1415,PVC,Tổng Công ty Dung dịch khoan và Hóa phẩm Dầu khí-CTCP,7.7,HNX
1416,PVCME,Công ty cổ phần Thi công cơ giới và lắp máy dầu khí,,OTC
1417,PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,18.7,HSX
1418,PVE,Tổng Công ty Tư vấn Thiết kế Dầu khí-CTCP,2.4,HNX
1419,PVEIC,Tổng Công ty Bảo Dưỡng -Sửa chữa Công trình Dầu khí - CTCP,,OTC
1420,PVEP,Tổng Công ty Thăm dò Khai thác Dầu khí,,OTC
1421,PVF,Tổng Công ty Tài chính Cổ phần Dầu khí Việt Nam,2.01,HSX
1422,PVFCC,Công ty Cổ phần Quản lý quỹ Đầu tư Tài chính Dầu khí,,OTC
1423,PVG,Công ty Cổ phần Kinh doanh Khí Miền Bắc,7.4,HNX
1424,PVH,Công ty cổ phần Xây lắp dầu khí Thanh Hóa,1,Upcom
1425,PVI,Công ty Cổ phần PVI,37.5,HNX
1426,PVI RE,Công ty Tái bảo hiểm PVI,,OTC
1427,PVID,Công ty cổ phần Đầu tư và Xây lắp khí,,OTC
1428,PVIF,Công ty cổ phần Đầu tư Tài chính Bảo hiểm Dầu khí,,OTC
1429,PVIINSURANCE,Tổng Công ty Bảo hiểm PVI,,OTC
1430,PVL,Công ty cổ phần Đầu tư Nhà đất Việt,1.9,HNX
1431,PVM,Công ty Cổ phần Máy - Thiết bị Dầu khí,9.9,Upcom
1432,PVN,Tập đoàn Dầu khí Việt Nam,,OTC
1433,PVO,CTCP Dầu nhờn PV Oil,4.1,Upcom
1434,PVP,Công ty Cổ phần Vận tải dầu khí Thái Bình Dương,6.9,Upcom
1435,PVR,Công ty Cổ phần đầu tư PVR Hà Nội,1.2,Upcom
1436,PVS,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,23.9,HNX
1437,PVSH,Công ty cổ phần Đầu tư và Thương mại Dầu khí Sông Hồng,,OTC
1438,PVST,Công ty cổ phần Du lịch dầu khí Sapa,,OTC
1439,PVT,Tổng công ty Cổ phần Vận tải Dầu khí,17.5,HSX
1440,PVV,Công ty Cổ phần Vinaconex 39,0.6,Upcom
1441,PVX,Tổng Công ty cổ phần Xây lắp Dầu khí Việt Nam,1.1,HNX
1442,PVY,Công ty Cổ phần Chế tạo Giàn khoan Dầu khí,2.2,Upcom
1443,PWA,Công ty Cổ phần Bất động sản Dầu khí,19.2,Upcom
1444,PWS,Công ty Cổ phần Cấp thoát nước Phú Yên,41,Upcom
1445,PX1,Công ty cổ phần Xi măng Sông Lam 2,10,Upcom
1446,PXA,Công ty cổ phần Đầu tư & Thương mại Dầu khí Nghệ An,1.7,Upcom
1447,PXC,Công ty cổ phần Phát triển đô thị Dầu khí,0.4,Upcom
1448,PXH,Công ty cổ phần Xây lắp Dầu khí Hà Nội,,OTC
1449,PXI,Công ty Cổ phần Xây dựng công nghiệp và dân dụng Dầu khí,2.06,HSX
1450,PXL,Tổng Công ty cổ phần Đầu tư và Phát triển KCN Dầu khí-Long Sơn,5.4,Upcom
1451,PXM,Công ty Cổ phần Xây lắp Dầu khí Miền Trung,0.2,Upcom
1452,PXPVEEF,PXP Vietnam Emerging Equity Fund,,OTC
1453,PXS,Công ty Cổ phần Kết cấu Kim loại và Lắp máy Dầu khí,5.38,HSX
1454,PXT,Công ty Cổ phần Xây lắp Đường ống Bể chứa Dầu khí,1.4,HSX
1455,PYNMFE,Mutual Fund Elite,,OTC
1456,PYU,Công ty Cổ phần Môi trường và Công trình Đô thị Phúc Yên,11.5,Upcom
1457,QBR,Công ty Cổ Phần Đường sắt Quảng Bình,8.9,Upcom
1458,QBS,Công ty Cổ phần Xuất nhập khẩu Quảng Bình,3.25,HSX
1459,QCC,CTCP Đầu tư Xây dựng và Phát triển Hạ tầng Viễn thông,9.3,Upcom
1460,QCG,Công ty Cổ phần Quốc Cường Gia Lai,4.58,HSX
1461,QHD,Công ty Cổ phần Que hàn điện Việt Đức,19,HNX
1462,QHW,CTCP Nước khoáng Quảng Ninh,14.5,Upcom
1463,QLD,Công ty Cổ phần Quản lý và Xây dựng giao thông Lạng Sơn,6,Upcom
1464,QLT,Công ty Cổ phần Quản lý Bảo trì Đường thủy nội địa số 10,7.8,Upcom
1465,QMCGROUP,Công ty Cổ phần Tập đoàn Quang Minh,,OTC
1466,QNC,Công ty Cổ phần Xi măng và Xây dựng Quảng Ninh,3.3,HNX
1467,QNP,CTCP Cảng Quy Nhơn,,OTC
1468,QNS,Công ty Cổ phần Đường Quảng Ngãi,31.6,Upcom
1469,QNU,Công ty Cổ phần Môi trường Đô thị Quảng Nam,10.1,Upcom
1470,QNW,CTCP Cấp thoát nước và Xây dựng Quảng Ngãi,9,Upcom
1471,QPH,Công ty Cổ phần Thủy điện Quế Phong,22.3,Upcom
1472,QSP,Công ty cổ phần Tân Cảng Quy Nhơn,16.7,Upcom
1473,QST,Công ty Cổ phần Sách và Thiết bị trường học Quảng Ninh,13.4,HNX
1474,QTC,Công ty Cổ phần Công trình Giao thông Vận tải Quảng Nam,20.4,HNX
1475,QTP,Công ty Cổ phần Nhiệt điện Quảng Ninh,11.5,Upcom
1476,QUANGNINHPORT,CTCP Cảng Quảng Ninh,,OTC
1477,QVFOOD,Công ty TNHH Kinh doanh chế biến thủy sản và XNK Quốc Việt,,OTC
1478,RAL,Công ty Cổ phần Bóng đèn Phích nước Rạng Đông,82,HSX
1479,RAT,CTCP Vận tải và Thương mại Đường sắt,6.5,Upcom
1480,RBC,CTCP Công nghiệp và Xuất nhập khẩu Cao Su,14.6,Upcom
1481,RCC,Công ty Cổ phần Tổng công ty Công trình đường sắt,22,Upcom
1482,RCD,Công ty cổ phần Xây dựng - Địa ốc Cao su,21,Upcom
1483,RCL,Công ty Cổ phần Địa ốc Chợ Lớn,21.3,HNX
1484,RDP,Công ty Cổ phần Rạng Đông Holding,9,HSX
1485,REDBULL,Công ty TNHH Red Bull (Việt Nam),,OTC
1486,REDRIVER,Red River Holding,,OTC
1487,REE,Công ty Cổ phần Cơ điện lạnh,33.35,HSX
1488,REM,Công ty cổ phần Tu bổ di tích Trung ương - Vinaremon,0.3,Upcom
1489,RESCO,Tổng Công ty Địa ốc Sài Gòn - TNHH MTV,,OTC
1490,RGC,Công ty cổ phần Đầu tư PV - Inconess,9.2,Upcom
1491,RHC,Công ty Cổ phần Thủy điện Ry Ninh II,19.8,HNX
1492,RHN,Công ty Cổ phần Đường sắt Hà Ninh,9.2,Upcom
1493,RIC,Công ty Cổ phần Quốc tế Hoàng Gia,7.1,HSX
1494,RICONS,Công ty Cổ phần Đầu tư Xây dựng Ricons,,OTC
1495,RLC,Công ty Cổ phần Đường bộ Lào Cai,10,Upcom
1496,ROS,Công ty cổ phần Xây dựng FLC Faros,27.45,HSX
1497,ROSE,Công ty cổ phần Chứng khoán Hoàng Gia,,OTC
1498,RTB,Công ty cổ phần Cao su Tân Biên,9.3,Upcom
1499,RTD,CTCP Phát triển công nghệ nông thôn,,OTC
1500,RTH,Công ty Cổ phần Đường sắt Thanh Hóa,5.2,Upcom
1501,RTS,CTCP Thông tin tín hiệu Đường sắt Đà Nẵng,41.2,Upcom
1502,RUBSE,Công ty Cổ phần Chứng khoán CAO SU,,OTC
1503,S12,Công ty Cổ phần Sông Đà 12,0.3,Upcom
1504,S27,Công ty cổ phần Sông Đà 27,3,Upcom
1505,S33,Công ty cổ phần Mía đường 333,25.5,Upcom
1506,S4A,Công ty Cổ phần Thủy điện Sê San 4A,28,HSX
1507,S55,Công ty Cổ phần Sông Đà 505,24.5,HNX
1508,S64,Công ty Cổ phần Sông Đà 6.04,6.3,HNX
1509,S72,Công ty Cổ phần Sông Đà 7.02,2.3,Upcom
1510,S74,Công ty Cổ phần Sông Đà 7.04,3.9,HNX
1511,S91,Công ty Cổ phần Sông Đà 9.01,12.8,HNX
1512,S96,Công ty Cổ phần Sông Đà 9.06,0.5,Upcom
1513,S99,Công ty Cổ phần SCI,7.9,HNX
1514,SAB,Tổng CTCP Bia - Rượu - Nước giải khát Sài Gòn,287,HSX
1515,SABECONT,Công ty cổ phần Bia Sài Gòn - Nghệ Tĩnh,,OTC
1516,SABIBECO,Công ty cổ phần Bia Sài Gòn-Bình Tây,,OTC
1517,SAC,Công ty Cổ phần Xếp dỡ và Dịch vụ Cảng Sài Gòn,13.2,Upcom
1518,SADACO,CTCP Phát Triển Sản Xuất Thương Mại Sài Gòn,,OTC
1519,SAF,Công ty Cổ phần Lương thực Thực phẩm Safoco,49.2,HNX
1520,SAGRI,Tổng Công ty Nông nghiệp Sài Gòn - TNHH MTV,,OTC
1521,SAIGON5,Công ty TNHH MTV Xây dựng Thương mại Sài Gòn 5,,OTC
1522,SAIGONAM,Saigon Asset Management,,OTC
1523,SAIGONCAPITAL,Công ty Cổ phần Quản lý quỹ Sài Gòn,,OTC
1524,SAIGONCONS,Tổng Công ty Xây dựng Sài Gòn - TNHH MTV,,OTC
1525,SAIGONCOOP,Liên hiệp Hợp tác xã Thương mại Thành phố Hồ Chí Minh,,OTC
1526,SAIGONPETRO,Công ty TNHH MTV Dầu khí Thành phố Hồ Chí Minh,,OTC
1527,SAIGONTOURIST,Tổng Công ty Du lịch Sài Gòn - TNHH Một thành viên,,OTC
1528,SAL,Công ty Cổ phần Trục vớt cứu hộ Việt Nam,8.6,Upcom
1529,SAM,Công ty Cổ phần SAM Holdings,8.15,HSX
1530,SAMCO,Tổng Công ty Cơ khí Giao thông Vận tải Sài Gòn - TNHH MTV,,OTC
1531,SAMVEH,Vietnam Equity Holding,,OTC
1532,SAMVPH,Vietnam Property Holding,,OTC
1533,SAP,Công ty Cổ phần In Sách giáo khoa tại Tp.Hồ Chí Minh,7.3,Upcom
1534,SAPHARCO,Công ty TNHH MTV Dược Sài Gòn,,OTC
1535,SAS,CTCP Dịch vụ Hàng không Sân bay Tân Sơn Nhất,25.5,Upcom
1536,SATRA,Tổng Công ty Thương mại Sài Gòn - TNHH MTV,,OTC
1537,SAV,Công ty Cổ phần Hợp tác kinh tế và Xuất nhập khẩu SAVIMEX,9.8,HSX
1538,SAWACO,Tổng Công ty Cấp nước Sài Gòn,,OTC
1539,SB1,Công ty cổ phần Bia Sài Gòn - Nghệ Tĩnh,11.8,Upcom
1540,SBA,Công ty Cổ phần Sông Ba,13.8,HSX
1541,SBBS,Công ty Cổ phần Chứng khoán SAIGONBANK BERJAYA,,OTC
1542,SBC,Công ty Cổ phần Vận tải và Giao nhận bia Sài Gòn,2.01,HSX
1543,SBD,Công ty Cổ phần Công nghệ Sao Bắc Đẩu,9,Upcom
1544,SBF,Công ty Cổ phần Quản lý quỹ Sabeco,,OTC
1545,SBH,Công ty cổ phần Thủy điện Sông Ba Hạ,24.2,Upcom
1546,SBIC,Tổng Công ty Công nghiệp Tàu thủy Việt nam,,OTC
1547,SBL,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,14.4,Upcom
1548,SBM,Công ty Cổ phần Đầu tư Phát triển Bắc Minh,24.8,Upcom
1549,SBS,Công ty Cổ phần Chứng khoán Ngân hàng Sài Gòn Thương Tín,1.4,Upcom
1550,SBT,Công ty cổ phần Thành Thành Công - Biên Hòa,16.85,HSX
1551,SBV,CTCP Siam Brothers Việt Nam,12.75,HSX
1552,SC5,Công ty Cổ phần Xây dựng số 5,30,HSX
1553,SCB,Ngân hàng Thương mại Cổ phần Sài Gòn,,OTC
1554,SCC,Công ty Cổ phần Đầu tư Thương mại Hưng Long tỉnh Hòa Bình,1.6,Upcom
1555,SCD,Công ty Cổ phần Nước giải khát Chương Dương,32,HSX
1556,SCH,CTCP Thủy điện Sông chảy 5,12.7,Upcom
1557,SCI,Công ty Cổ phần SCI E&C,13.6,HNX
1558,SCIC,Tổng Công ty Đầu tư và Kinh doanh vốn Nhà nước,,OTC
1559,SCID,Công ty cổ phần Đầu tư Phát triển Saigon Co-op,,OTC
1560,SCJ,Công ty Cổ phần Xi măng Sài Sơn,5.7,Upcom
1561,SCL,Công ty Cổ phần Sông Đà Cao Cường,4.4,HNX
1562,SCO,Công ty Cổ phần Công nghiệp Thủy sản,5.6,Upcom
1563,SCR,Công ty Cổ phần Địa ốc Sài Gòn Thương Tín,7.1,HSX
1564,SCS,Công ty cổ phần Dịch vụ Hàng hóa Sài Gòn,158.5,HSX
1565,SCY,Công ty Cổ phần Đóng tàu Sông Cấm,13,Upcom
1566,SD1,Công ty Cổ phần Sông Đà 1,2,Upcom
1567,SD2,Công ty Cổ phần Sông Đà 2,5.6,HNX
1568,SD3,Công ty Cổ phần Sông Đà 3,2.3,Upcom
1569,SD4,Công ty Cổ phần Sông Đà 4,5.7,HNX
1570,SD5,Công ty Cổ phần Sông Đà 5,6,HNX
1571,SD6,Công ty Cổ phần Sông Đà 6,3.4,HNX
1572,SD7,Công ty Cổ phần Sông Đà 7,4.3,Upcom
1573,SD8,Công ty Cổ phần Sông Đà 8,0.5,Upcom
1574,SD9,Công ty Cổ phần Sông Đà 9,6.5,HNX
1575,SDA,Công ty Cổ phần Simco Sông Đà,2.6,HNX
1576,SDB,Công ty Cổ phần Sông Đà 207,2,Upcom
1577,SDC,Công ty Cổ phần Tư vấn Sông Đà,16.5,HNX
1578,SDD,Công ty Cổ phần Đầu tư và Xây lắp Sông Đà,2.8,Upcom
1579,SDE,Công ty cổ phần Kỹ thuật Điện Sông Đà,4.7,Upcom
1580,SDF,Công ty Tài chính cổ phần Sông Đà,6.4,Upcom
1581,SDG,Công ty Cổ phần Sadico Cần Thơ,25,HNX
1582,SDH,Công ty Cổ phần Xây dựng hạ tầng Sông Đà,1.4,Upcom
1583,SDHL,Công ty cổ phần Thủy điện Sông Đà - Hoàng Liên,,OTC
1584,SDI,Công ty cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,79,Upcom
1585,SDJ,Công ty Cổ phần Sông Đà 25,8,Upcom
1586,SDK,Công ty Cổ phần Cơ khí Luyện kim,34.5,Upcom
1587,SDN,Công ty Cổ phần Sơn Đồng Nai,28.8,HNX
1588,SDP,Công ty cổ phần SDP,1.7,Upcom
1589,SDS,Công ty Cổ phần Xây lắp và Đầu tư Sông Đà,4.1,HNX
1590,SDT,Công ty Cổ phần Sông Đà 10,4.5,HNX
1591,SDU,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,8,HNX
1592,SDV,Công ty Cổ phần Dịch vụ Sonadezi,19.5,Upcom
1593,SDX,CTCP Phòng cháy chữa cháy và Đầu tư Xây dựng Sông Đà,6.8,Upcom
1594,SDY,Công ty Cổ phần Xi măng Elecem,4.5,Upcom
1595,SEA,Tổng công ty Thủy sản Việt Nam – CTCP,16.2,Upcom
1596,SEAPRIMEXCO,Công ty cổ phần Thuỷ sản Cà Mau,,OTC
1597,SEB,Công ty Cổ phần Đầu tư và Phát triển Điện miền Trung,31,HNX
1598,SEC,Công ty Cổ phần Mía đường Nhiệt điện Gia Lai,2.01,HSX
1599,SED,Công ty Cổ phần Đầu tư và Phát triển giáo dục Phương Nam,17.7,HNX
1600,SEL,Công ty Cổ phần Sông Đà 11 Thăng Long,12.2,HNX
1601,SEP,Công ty Cổ phần Tổng Công ty Thương mại Quảng Trị,11.6,Upcom
1602,SEV,Công ty TNHH Samsung Electronics Việt Nam,,OTC
1603,SFC,Công ty Cổ phần Nhiên liệu Sài Gòn,22.6,HSX
1604,SFG,Công ty Cổ phần Phân bón Miền Nam,10.4,HSX
1605,SFI,Công ty Cổ phần Đại lý Vận tải SAFI,25,HSX
1606,SFN,Công ty Cổ phần Dệt lưới Sài Gòn,25.6,HNX
1607,SFT,CÔNG TY CỔ PHẦN SOFTECH,3,Upcom
1608,SGC,Công ty Cổ phần Xuất nhập khẩu Sa Giang,129,HNX
1609,SGD,Công ty cổ phần Sách Giáo dục tại T.P Hồ Chí Minh,12.6,HNX
1610,SGH,Công ty Cổ phần Khách sạn Sài Gòn,59.5,HNX
1611,SGHP,CTCP Cảng Sài Gòn - Hiệp Phước,,OTC
1612,SGIX,CTCP Đầu tư Sài Gòn,,OTC
1613,SGN,Công ty cổ phần Phục vụ Mặt đất Sài Gòn,94.1,HSX
1614,SGNF,Công ty TNHH Thực phẩm Dinh Dưỡng Sài Gòn,,OTC
1615,SGO,Công ty cổ phần Dầu thực vật Sài Gòn,0.8,HNX
1616,SGP,Công ty Cổ phần Cảng Sài Gòn,7.9,Upcom
1617,SGR,Công ty cổ phần Địa ốc Sài Gòn,16.9,HSX
1618,SGS,Công ty Cổ phần Vận tải biển Sài Gòn,23.9,Upcom
1619,SGT,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,6.5,HSX
1620,SGVW,Công ty TNHH Saigon Ve Wong,,OTC
1621,SHA,Công ty Cổ phần Sơn Hà Sài Gòn,5.79,HSX
1622,SHB,Ngân hàng Thương mại cổ phần Sài Gòn - Hà Nội,6.7,HNX
1623,SHBS,Công ty Cổ phần Chứng khoán SHB,,OTC
1624,SHC,Công ty Cổ phần Hàng Hải Sài Gòn,4.2,Upcom
1625,SHE,Công ty Cổ phần Phát triển năng lượng Sơn Hà,14.4,HNX
1626,SHERATONSG,Công ty Liên doanh Đại Dương,,OTC
1627,SHF,Công ty cổ phần Quản lý quỹ Đầu tư Sài Gòn - Hà Nội,,OTC
1628,SHG,Tổng Công ty Cổ phần Sông Hồng,2.6,Upcom
1629,SHI,Công ty cổ phần Quốc tế Sơn Hà,8.5,HSX
1630,SHN,Công ty Cổ phần Đầu tư Tổng hợp Hà Nội,8.6,HNX
1631,SHP,Công ty cổ phần Thủy điện Miền Nam,23.2,HSX
1632,SHS,Công ty Cổ phần Chứng Khoán Sài Gòn Hà Nội,9.9,HNX
1633,SHV,Công ty Cổ phần Hải Việt,12,Upcom
1634,SHX,CTCP Sài Gòn Hỏa xa,14.6,Upcom
1635,SIC,Công ty cổ phần ANI,9.9,HNX
1636,SID,Công ty Cổ phần Đầu tư Phát triển Sài Gòn Co.op,14.4,Upcom
1637,SII,Công ty cổ phần Hạ tầng nước Sài Gòn,17.75,HSX
1638,SIP,CTCP Đầu tư Sài Gòn VRG,86.8,Upcom
1639,SIV,Công ty Cổ phần SIVICO,33.7,Upcom
1640,SJ1,Công ty cổ phần Nông nghiệp Hùng Hậu,18.5,HNX
1641,SJC,Công ty Cổ phần Sông Đà 1.01,2,HNX
1642,SJCS,Công ty Cổ phần Chứng khoán SJC,,OTC
1643,SJCX,Công ty TNHH MTV Vàng bạc đá quý Sài Gòn,,OTC
1644,SJD,Công ty Cổ phần Thủy điện Cần Đơn,20.6,HSX
1645,SJE,Công ty Cổ phần Sông Đà 11,25.5,HNX
1646,SJF,CTCP Đầu tư Sao Thái Dương,3.4,HSX
1647,SJG,Tổng Công ty Sông Đà - Công ty cổ phần,7.3,Upcom
1648,SJM,Công ty Cổ phần Sông Đà 19,0.8,Upcom
1649,SJS,Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu Công nghiệp Sông Đà,19.35,HSX
1650,SKG,Công ty Cổ phần Tàu cao tốc Superdong – Kiên Giang,11.85,HSX
1651,SKH,Công ty Cổ phần Nước giải khát Sanest Khánh Hòa,22.7,Upcom
1652,SKN,Công ty cổ phần Nước giải khát Sanna Khánh Hòa,7.9,Upcom
1653,SKS,Công ty cổ phần Công trình Giao thông Sông Đà,9.8,HNX
1654,SKV,Công ty Cổ phần Nước giải khát Yến sào Khánh Hòa,25.4,Upcom
1655,SLC,CTCP Dịch vụ xuất khẩu lao động và chuyên gia,10.5,Upcom
1656,SLS,Công ty cổ phần Mía đường Sơn La,37.5,HNX
1657,SMA,Công ty Cổ phần Thiết bị Phụ tùng Sài Gòn,14.5,HSX
1658,SMB,Công ty Cổ phần Bia Sài Gòn - Miền Trung,39.2,HSX
1659,SMC,Công ty Cổ phần Ðầu tư Thương mại SMC,13.8,HSX
1660,SME,Công ty Cổ phần Chứng khoán SME,0.3,HNX
1661,SMN,Công ty Cổ phần Sách và Thiết bị Giáo dục Miền Nam,9,HNX
1662,SMT,Công ty cổ phần SAMETEL,34.2,HNX
1663,SNC,Công ty Cổ phần Xuất nhập khẩu Thuỷ sản Năm Căn,16.2,Upcom
1664,SNG,Công ty TNHH MTV Sông Đà 10.1,20.8,HNX
1665,SNP,Công ty TNHH MTV - Tổng Công ty Tân Cảng Sài Gòn,,OTC
1666,SNTB,CTCP Thương Mại Bia Sài Gòn Nam Trung Bộ,,OTC
1667,SNZ,Tổng Công ty Cổ phần phát triển khu Công nghiệp,21.5,Upcom
1668,SON,Công ty Cổ phần Cung ứng nhân lực Quốc tế và Thương mại,10.1,Upcom
1669,SONADEZI,Tổng Công ty Phát triển Khu công nghiệp,,OTC
1670,SONGLONG,Công ty TNHH Song Long,,OTC
1671,SONGTHU,Tổng Công ty Sông Thu - BQP,,OTC
1672,SOSAL,CTCP Tập đoàn muối Miền Nam,,OTC
1673,SOV,CTCP Mắt kính Sài Gòn,107,Upcom
1674,SOVICO,Công ty cổ phần Sovico,,OTC
1675,SP2,CTCP Thủy điện Sử Pán 2,4.6,Upcom
1676,SPA,Công ty Cổ Phần Bao bì Sài Gòn,7.2,Upcom
1677,SPB,CTCP Sợi Phú Bài,33.2,Upcom
1678,SPC,Công ty Cổ phần Bảo vệ Thực vật Sài Gòn,15.6,Upcom
1679,SPCT,Công ty Cảng Container Trung tâm Sài Gòn,,OTC
1680,SPD,Công ty Cổ phần Xuất nhập khẩu Thủy sản Miền Trung,6,Upcom
1681,SPH,Công ty cổ phần Xuất nhập khẩu Thủy sản Hà Nội,7.1,Upcom
1682,SPI,Công ty cổ phần SPI,1,HNX
1683,SPM,Công ty Cổ phần S.P.M,12.6,HSX
1684,SPP,Công ty cổ phần Bao bì Nhựa Sài Gòn,2.9,HNX
1685,SPPSA,Công ty TNHH Cảng Quốc tế SP - PSA,,OTC
1686,SPT,Công ty cổ phần Dịch vụ Bưu chính Viễn thông Sài Gòn,,OTC
1687,SPV,Công ty cổ phần Thủy Đặc Sản,9,Upcom
1688,SQC,Công ty Cổ phần Khoáng sản Sài Gòn - Quy Nhơn,82,Upcom
1689,SRA,Công ty Cổ phần Sara Việt Nam,12.1,HNX
1690,SRB,Công ty Cổ phần Tập đoàn Sara,1.2,Upcom
1691,SRC,Công ty Cổ phần Cao Su Sao Vàng,18.85,HSX
1692,SRF,Công ty Cổ phần Kỹ Nghệ Lạnh,14.5,HSX
1693,SRT,Công ty Cổ phần Vận tải Đường sắt Sài Gòn,3.8,Upcom
1694,SSC,Công ty Cổ phần Giống cây trồng Miền Nam,76.8,HSX
1695,SSF,Công ty Cổ phần Giầy Sài Gòn,2.9,Upcom
1696,SSG,Công ty Cổ phần Vận tải biển Hải Âu,4.1,Upcom
1697,SSGG,Công ty Cổ phần Tập đoàn SSG,,OTC
1698,SSI,Công ty cổ phần Chứng khoán SSI,25.35,HSX
1699,SSIAM,Công ty TNHH Quản lý quỹ SSI,,OTC
1700,SSIT,Công ty Liên doanh Dịch vụ Container Quốc tế Cảng Sài Gòn - SSA,,OTC
1701,SSM,Công ty Cổ phần Chế tạo Kết cấu Thép VNECO.SSM,6.1,HNX
1702,SSN,Công ty Cổ phần Xuất nhập khẩu Thủy sản Sài Gòn,5.5,Upcom
1703,SSS,Công ty Cổ phần Sông Đà 6.06,4,HNX
1704,SST,CTCP Thương mại Bia Sài Gòn Sông Tiền,,Upcom
1705,SSU,CTCP Môi trường Đô thị Sóc Sơn,4,Upcom
1706,ST8,Công ty Cổ phần Siêu Thanh,18.7,HSX
1707,STAPIMEX,CTCP Thuỷ sản Sóc Trăng,,OTC
1708,STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,11.5,HSX
1709,STC,Công ty Cổ phần Sách và Thiết bị trường học Tp. Hồ Chí Minh,17,HNX
1710,STG,Công ty Cổ phần Kho vận Miền Nam,13.7,HSX
1711,STJ,Công ty Cổ phần Vận tải Sonadezi,,OTC
1712,STK,Công ty cổ phần Sợi Thế Kỷ,24.1,HSX
1713,STL,Công ty cổ phần Sông Đà - Thăng Long,3.1,Upcom
1714,STP,Công ty Cổ phần Công nghiệp Thương mại Sông Đà,6.3,HNX
1715,STS,Công ty Cổ phần Dịch vụ Vận tải Sài Gòn,14,Upcom
1716,STSC,Công ty Cổ phần Chứng khoán SÀI GÒN TOURIST,,OTC
1717,STT,Công ty cổ phần Vận chuyển Sài Gòn Tourist,9,Upcom
1718,STU,Công ty Cổ phần Môi trường và Công trình Đô thị Sơn Tây,5.9,Upcom
1719,STV,Công ty cổ phần Chế tác Đá Việt Nam,12.8,Upcom
1720,STW,Công ty cổ phần Cấp nước Sóc Trăng,6.9,Upcom
1721,SUM,Công ty Cổ phần Đo đạc và Khoáng sản,5,Upcom
1722,SUNHOUSE,CTCP Tập đoàn Sunhouse,,OTC
1723,SUNTORYPEPSICO,Công ty TNHH Suntory PepsiCo Việt Nam,,OTC
1724,SVC,Công ty Cổ phần Dịch vụ tổng hợp Sài Gòn,46,HSX
1725,SVG,CTCP Hơi Kỹ nghệ Que hàn,17.2,Upcom
1726,SVH,Công ty Cổ phần Thủy điện Sông Vàng,10,Upcom
1727,SVI,Công ty Cổ phần Bao bì Biên Hòa,50,HSX
1728,SVIC,Tổng Công ty cổ phần Bảo hiểm SHB - Vinacomin,,OTC
1729,SVJ,CTCP Santomas Việt Nam,,OTC
1730,SVL,Công ty Cổ phần Nhân lực Quốc tế Sovilaco,18.5,Upcom
1731,SVN,Công ty cổ phần SOLAVINA,1.3,HNX
1732,SVS,Công ty Cổ phần Chứng khoán Sao Việt,3.6,HNX
1733,SVT,Công ty Cổ phần Công nghệ Sài Gòn Viễn Đông,5.86,HSX
1734,SWC,Tổng Công ty Cổ phần Đường Sông Miền Nam,12.6,Upcom
1735,SYNCAP,Công ty Cổ phần Quản lý quỹ Hợp Lực Việt Nam,,OTC
1736,SZB,Công ty cổ phần Sonadezi Long Bình,,OTC
1737,SZC,Công ty cổ phần Sonadezi Châu Đức,21.8,HSX
1738,SZE,Công ty Cổ phần Môi trường Sonadezi,11.5,Upcom
1739,SZL,Công ty cổ phần Sonadezi Long Thành,47.95,HSX
1740,T12,Công ty Cổ phần Thương mại dịch vụ Tràng Thi,27.7,Upcom
1741,TA3,Công ty Cổ phần Đầu tư và Xây lắp Thành An 386,8,Upcom
1742,TA6,Công ty Cổ phần Đầu tư và Xây lắp Thành An 665,6.5,Upcom
1743,TA9,Công ty Cổ phần Xây lắp Thành An 96,8.5,HNX
1744,TAC,Công ty Cổ phần Dầu Thực vật Tường An,28.8,HSX
